epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0009,3.2671,4.68089,13.4897,1.4222,0.00083,0.07071,0.00045,0.00015,0.00109,0.09293,0.00061,0.00016,3.03898,4.46229,9.91879,1.2502,0.000655914,0.000655914,0.000655914
2,28.6345,3.36392,4.53568,9.93283,1.32248,0.00203,0.17374,0.00135,0.00044,0.00225,0.19192,0.00142,0.00043,3.14568,16.54,25.9018,1.50871,0.00130949,0.00130949,0.00130949
3,34.9555,3.35092,4.38904,8.52564,1.30628,0.09175,0.07879,0.02041,0.00647,0.10296,0.07475,0.0246,0.00548,3.37375,4.61262,7.53852,1.48625,0.00194986,0.00194986,0.00194986
4,41.2196,3.44262,4.52652,6.95269,1.3632,0.11192,0.10909,0.03293,0.01002,0.09168,0.11313,0.02805,0.00577,3.26458,4.35902,11.7571,1.56225,0.0019406,0.0019406,0.0019406
5,47.3936,3.28646,4.23142,6.85951,1.30912,0.13512,0.08017,0.02688,0.00753,0.0949,0.09697,0.02876,0.00592,3.18603,4.07547,4.34973,1.42138,0.0019208,0.0019208,0.0019208
6,53.5146,3.38406,4.42737,5.71948,1.2983,0.04302,0.08889,0.00893,0.00226,0.03359,0.07071,0.00762,0.00179,3.2129,4.30413,11.8908,1.24949,0.001901,0.001901,0.001901
7,59.6069,3.31731,4.13187,4.52066,1.3002,0.13243,0.14141,0.0412,0.01048,0.08326,0.10909,0.02982,0.00598,3.27404,4.19919,3.54321,1.33997,0.0018812,0.0018812,0.0018812
8,65.85,3.22216,4.03245,4.16583,1.24234,0.17523,0.13939,0.04779,0.01305,0.11069,0.13535,0.03951,0.00875,3.19188,4.22532,3.60825,1.27303,0.0018614,0.0018614,0.0018614
9,72.1021,3.19943,4.03766,3.55146,1.2479,0.16058,0.15152,0.05925,0.01686,0.12045,0.14141,0.04924,0.01329,3.13105,4.14549,2.4959,1.31522,0.0018416,0.0018416,0.0018416
10,78.2391,3.21735,3.97597,3.36515,1.27444,0.1437,0.16768,0.04961,0.01243,0.12107,0.18586,0.04974,0.01138,3.14172,4.05037,2.93616,1.25947,0.0018218,0.0018218,0.0018218
11,84.2222,3.09747,3.92751,2.98103,1.26637,0.16553,0.15354,0.06491,0.01806,0.11455,0.15758,0.04732,0.01079,3.01049,4.05396,2.51719,1.21723,0.001802,0.001802,0.001802
12,90.227,3.12466,3.94809,3.03494,1.25574,0.19481,0.15758,0.0694,0.0207,0.15951,0.12121,0.0634,0.01626,2.97634,4.04258,2.52332,1.24767,0.0017822,0.0017822,0.0017822
13,96.2242,2.98776,3.63972,2.90171,1.22232,0.17584,0.12525,0.06518,0.01973,0.13209,0.12323,0.07261,0.01865,2.9693,4.03254,2.38082,1.23404,0.0017624,0.0017624,0.0017624
14,102.255,3.18723,3.79273,2.73263,1.22152,0.20577,0.14949,0.07461,0.02159,0.14897,0.18586,0.07827,0.01933,3.0668,3.88598,2.53424,1.22065,0.0017426,0.0017426,0.0017426
15,108.324,3.09543,3.64821,2.59273,1.22754,0.17334,0.16566,0.07105,0.0209,0.14437,0.16566,0.07239,0.01916,3.08519,4.0089,2.26971,1.21189,0.0017228,0.0017228,0.0017228
16,114.39,3.06878,3.85987,2.55076,1.21685,0.20721,0.15207,0.07221,0.01952,0.19203,0.14747,0.06835,0.01629,3.04132,3.88964,2.55664,1.25722,0.001703,0.001703,0.001703
17,120.385,3.13945,4.01798,2.61635,1.22702,0.18364,0.1697,0.0692,0.02155,0.15884,0.18788,0.08772,0.02357,3.0314,3.7598,2.13891,1.2288,0.0016832,0.0016832,0.0016832
18,126.339,2.96527,3.78329,2.48239,1.21896,0.14657,0.15556,0.0665,0.02094,0.1054,0.16768,0.06196,0.01773,2.89774,4.10942,2.31845,1.19622,0.0016634,0.0016634,0.0016634
19,132.337,2.87476,3.61084,2.57589,1.19978,0.25179,0.15354,0.09998,0.02988,0.15876,0.19596,0.09811,0.02663,2.90847,3.68779,2.07197,1.19352,0.0016436,0.0016436,0.0016436
20,138.506,2.90596,3.72036,2.43073,1.14837,0.167,0.15354,0.0636,0.01779,0.149,0.19596,0.07477,0.01771,3.11595,3.89173,2.55081,1.22713,0.0016238,0.0016238,0.0016238
21,144.483,2.97476,3.82153,2.60103,1.16119,0.15664,0.12727,0.06232,0.02021,0.1418,0.13131,0.06104,0.01572,2.99277,6.10137,2.33538,1.2412,0.001604,0.001604,0.001604
22,150.797,2.86177,3.68521,2.34393,1.20503,0.21147,0.15556,0.08161,0.0236,0.15827,0.13939,0.07249,0.01847,3.018,3.87794,2.10315,1.27174,0.0015842,0.0015842,0.0015842
23,157.039,2.89908,3.86039,2.38159,1.16654,0.14009,0.15152,0.05933,0.01922,0.12241,0.1697,0.06286,0.0167,3.00692,12.4072,2.48001,1.23219,0.0015644,0.0015644,0.0015644
24,163.219,2.90349,3.7417,2.29177,1.17182,0.19323,0.16566,0.08474,0.02856,0.12335,0.16162,0.07734,0.02046,2.9044,4.90567,2.15947,1.18911,0.0015446,0.0015446,0.0015446
