epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5839,3.00253,4.83685,5.48678,1.38157,0,0,0,0,0,0,0,0,3.18115,10.6728,4.8158,1.42035,0.0678602,0.000655914,0.000655914
2,26.9976,2.95588,3.92485,2.48762,1.38674,0.10668,0.09606,0.07244,0.02674,0.08355,0.07523,0.05332,0.01581,3.06811,6.00147,3.41452,1.52307,0.0351933,0.00132238,0.00132238
3,34.0506,3.02641,3.90483,2.39504,1.31396,0.03543,0.0544,0.00899,0.00249,0.0309,0.04745,0.00814,0.00207,3.17849,4.22229,3.57574,1.39062,0.00252565,0.00198802,0.00198802
4,40.8014,3.04134,4.03429,2.24834,1.32393,0.0968,0.07986,0.01738,0.00457,0.10169,0.08102,0.02383,0.0052,3.15383,3.85174,15.386,1.45178,0.00199723,0.00199723,0.00199723
5,47.2881,2.88918,3.77331,2.24231,1.27749,0.1623,0.1331,0.03763,0.01142,0.1549,0.1412,0.047,0.01174,2.88379,3.68897,3.30311,1.33917,0.00199507,0.00199507,0.00199507
6,53.808,3.00199,3.86566,2.19436,1.24782,0.18849,0.14815,0.06036,0.01814,0.19461,0.14352,0.0739,0.01807,2.87015,3.64137,3.72731,1.34413,0.0019923,0.0019923,0.0019923
7,60.2518,2.86222,3.87083,2.20617,1.28593,0.19876,0.14959,0.07316,0.02456,0.15923,0.1412,0.06928,0.01758,2.77106,3.67426,2.30102,1.28357,0.00198892,0.00198892,0.00198892
8,66.6813,2.86579,3.80176,2.02958,1.26669,0.171,0.14352,0.05485,0.01485,0.15464,0.14468,0.06176,0.01445,2.86217,3.68376,2.46438,1.26338,0.00198493,0.00198493,0.00198493
9,72.9439,2.83878,3.76379,2.11933,1.29105,0.25971,0.11458,0.07885,0.02623,0.24578,0.1169,0.08785,0.02417,2.84469,3.79524,1.99656,1.32545,0.00198033,0.00198033,0.00198033
10,79.3876,2.85504,3.70534,2.08291,1.30928,0.19928,0.13773,0.0711,0.02136,0.13472,0.13624,0.05769,0.01522,2.84845,3.83602,2.65265,1.31753,0.00197513,0.00197513,0.00197513
11,85.9217,2.75155,3.63878,2.02346,1.24775,0.22172,0.1331,0.06968,0.02116,0.18373,0.16204,0.08139,0.01989,2.85098,3.77405,1.86255,1.33101,0.00196933,0.00196933,0.00196933
12,92.5529,2.85151,3.69231,1.96421,1.23063,0.2086,0.15162,0.08951,0.03211,0.17672,0.15741,0.09691,0.02548,2.71591,3.60978,1.84325,1.23457,0.00196294,0.00196294,0.00196294
