epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,99.1094,2.74681,3.70284,1.94238,1.20923,0.22057,0.15278,0.08285,0.02645,0.16443,0.12963,0.06119,0.01308,2.76344,3.88414,1.88224,1.2891,0.00195595,0.00195595,0.00195595
14,105.745,2.68207,3.55448,1.87338,1.19707,0.23518,0.16319,0.09756,0.03124,0.1835,0.13426,0.08715,0.02327,2.66561,3.56369,1.94521,1.25875,0.00194838,0.00194838,0.00194838
15,112.258,2.68553,3.62026,1.87006,1.21098,0.20897,0.14699,0.07511,0.02343,0.19376,0.15046,0.08615,0.02325,2.75638,3.68917,2.07518,1.29202,0.00194022,0.00194022,0.00194022
16,118.77,2.63885,3.63314,1.87903,1.23553,0.25396,0.14236,0.0881,0.02992,0.19808,0.15724,0.09392,0.02384,2.70466,3.5619,1.86724,1.28044,0.00193149,0.00193149,0.00193149
17,125.477,2.65876,3.63874,1.91425,1.23832,0.20598,0.15509,0.08274,0.0303,0.1798,0.1875,0.09387,0.02594,2.66057,3.45053,1.95542,1.25759,0.00192219,0.00192219,0.00192219
18,132.079,2.65017,3.53753,1.78068,1.18962,0.22572,0.16667,0.08638,0.02761,0.1857,0.16204,0.08524,0.02193,2.63851,3.46762,2.17472,1.26299,0.00191233,0.00191233,0.00191233
19,138.597,2.68411,3.61106,1.83863,1.2153,0.26878,0.16319,0.10627,0.03416,0.23413,0.17824,0.11723,0.02784,2.68956,3.55968,1.85759,1.24487,0.00190191,0.00190191,0.00190191
20,145.16,2.72223,3.57813,1.95904,1.24564,0.25152,0.1412,0.09525,0.02878,0.20333,0.13263,0.09079,0.02113,2.78014,3.50982,1.81556,1.25909,0.00189094,0.00189094,0.00189094
21,151.592,2.61584,3.64515,1.922,1.17425,0.26568,0.16898,0.10656,0.03732,0.20477,0.1713,0.10763,0.02776,2.73468,3.51587,1.77665,1.21818,0.00187942,0.00187942,0.00187942
22,158.099,2.63392,3.46889,1.8352,1.19579,0.27918,0.1713,0.11612,0.03815,0.18425,0.15972,0.10589,0.02844,2.73587,3.50511,1.73745,1.25274,0.00186738,0.00186738,0.00186738
23,164.57,2.59589,3.46961,1.76877,1.16947,0.25493,0.1713,0.10496,0.03624,0.18203,0.17245,0.09506,0.02642,2.7322,3.44983,1.75922,1.2783,0.0018548,0.0018548,0.0018548
24,170.928,2.54212,3.56335,1.77549,1.19233,0.23908,0.15046,0.10481,0.0342,0.17614,0.14931,0.08972,0.02484,2.78646,3.47539,1.7537,1.29262,0.00184171,0.00184171,0.00184171
25,177.436,2.59829,3.50935,1.78429,1.18085,0.22417,0.15972,0.10758,0.03714,0.18063,0.15394,0.10126,0.02601,2.7368,3.43904,1.82233,1.23724,0.00182812,0.00182812,0.00182812
26,183.874,2.65327,3.3778,1.75237,1.17467,0.2341,0.16782,0.09436,0.03112,0.19259,0.17696,0.08732,0.02322,2.72352,3.44149,1.93853,1.2174,0.00181402,0.00181402,0.00181402
27,190.325,2.55231,3.50376,1.7977,1.18786,0.28219,0.17361,0.12681,0.04017,0.22765,0.19329,0.12772,0.03191,2.71499,3.39138,1.66847,1.23651,0.00179943,0.00179943,0.00179943
28,196.614,2.47136,3.52298,1.8609,1.19525,0.28312,0.16088,0.11578,0.0421,0.2421,0.16782,0.12363,0.03475,2.65135,3.52441,1.70534,1.23617,0.00178437,0.00178437,0.00178437
29,202.886,2.55215,3.44947,1.8968,1.17927,0.20692,0.15625,0.07926,0.02732,0.19082,0.15741,0.08707,0.02159,2.69522,3.37934,2.0648,1.23148,0.00176883,0.00176883,0.00176883
30,209.189,2.49742,3.39344,1.76968,1.18743,0.26779,0.14931,0.10987,0.04065,0.20883,0.12847,0.10258,0.0306,2.70169,3.54792,1.79069,1.25734,0.00175284,0.00175284,0.00175284
31,215.703,2.46339,3.52963,1.69121,1.18104,0.28672,0.16898,0.11848,0.04173,0.21804,0.17654,0.11551,0.03154,2.59256,3.48807,1.75946,1.22981,0.0017364,0.0017364,0.0017364
32,222.276,2.50965,3.32882,1.67399,1.15355,0.30307,0.15278,0.10762,0.03732,0.24983,0.15162,0.11434,0.02867,2.66391,3.52122,1.76835,1.24533,0.00171952,0.00171952,0.00171952
33,230.018,2.60651,3.54901,1.82501,1.16657,0.31045,0.16467,0.11391,0.03824,0.28427,0.15078,0.11512,0.02927,2.71982,3.6102,1.83243,1.27473,0.00170222,0.00170222,0.00170222
34,237.712,2.51564,3.42671,1.83461,1.13453,0.29233,0.15682,0.12039,0.04304,0.26523,0.15856,0.11874,0.03237,2.72487,3.51441,1.67387,1.26534,0.0016845,0.0016845,0.0016845
35,245.335,2.51782,3.39096,1.74657,1.1596,0.26875,0.1713,0.12069,0.04039,0.23062,0.14468,0.11041,0.02938,2.66546,3.5331,1.65632,1.24477,0.00166639,0.00166639,0.00166639
36,252.742,2.50594,3.49991,1.76614,1.1524,0.25523,0.1713,0.11523,0.04193,0.20081,0.16435,0.11361,0.03212,2.68436,3.44212,1.74512,1.2196,0.00164789,0.00164789,0.00164789
37,260.707,2.50148,3.40913,1.68666,1.12925,0.26629,0.17245,0.1132,0.03569,0.216,0.20023,0.11925,0.03336,2.7555,3.46084,1.89718,1.23644,0.00162901,0.00162901,0.00162901
38,268.647,2.54587,3.44568,1.64849,1.16036,0.26432,0.1794,0.11836,0.04168,0.24261,0.18287,0.12617,0.03402,2.63517,3.5921,1.76687,1.21624,0.00160977,0.00160977,0.00160977
