epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3871,3.0541,4.49598,7.01404,1.25604,0.0017,0.06785,0.00096,0.00034,0.00289,0.11504,0.00167,0.00044,2.69405,4.38628,6.71155,1.0874,0.000657277,0.000657277,0.000657277
2,32.2895,2.93107,3.95408,4.40884,1.22217,0.2347,0.06785,0.02999,0.00986,0.00585,0.17404,0.03032,0.00779,2.784,3.80563,4.62404,1.17107,0.00131084,0.00131084,0.00131084
3,39.9877,3.03266,3.95652,3.40533,1.26605,0.18215,0.12979,0.06254,0.02177,0.13504,0.13274,0.0482,0.01395,2.81492,3.87398,3.37239,1.11057,0.0019512,0.0019512,0.0019512
4,47.6814,3.04389,3.90043,3.00675,1.22409,0.15764,0.10324,0.0405,0.01231,0.16198,0.12684,0.05085,0.01307,2.99999,3.74811,2.60147,1.12669,0.0019406,0.0019406,0.0019406
5,55.3687,2.98113,3.70587,2.58838,1.20719,0.25586,0.12983,0.08988,0.02938,0.23072,0.13569,0.09561,0.02434,2.72946,3.94907,2.09991,1.10855,0.0019208,0.0019208,0.0019208
6,64.4711,2.9512,3.68432,2.39853,1.18826,0.25486,0.13569,0.07866,0.03027,0.2757,0.17109,0.11188,0.02947,2.70051,3.85765,1.80587,1.10062,0.001901,0.001901,0.001901
7,74.5411,2.88206,3.69764,2.21148,1.19748,0.04252,0.10324,0.00881,0.00323,0.04471,0.11504,0.01424,0.0041,2.64258,3.57125,10.116,1.16549,0.0018812,0.0018812,0.0018812
8,82.4485,2.84133,3.67432,2.01106,1.1667,0.24646,0.13569,0.08978,0.02785,0.21663,0.15634,0.08948,0.02738,2.77664,3.87407,1.69634,1.07122,0.0018614,0.0018614,0.0018614
9,89.9319,2.92862,3.77441,2.00601,1.15626,0.26818,0.12684,0.08885,0.02541,0.21902,0.20944,0.0956,0.02575,2.67563,3.55363,1.95897,1.0803,0.0018416,0.0018416,0.0018416
10,97.5619,2.90597,3.654,1.95746,1.19451,0.21707,0.16519,0.0924,0.0277,0.22321,0.21829,0.10332,0.02614,2.79309,3.95874,1.77154,1.06279,0.0018218,0.0018218,0.0018218
11,105.221,2.88267,3.65108,1.89515,1.17601,0.29436,0.12684,0.0845,0.0293,0.24303,0.15929,0.08865,0.02436,2.66791,3.5672,2.17786,1.10541,0.001802,0.001802,0.001802
