epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,153.839,3.17292,4.10556,3.02065,1.2927,0.17228,0.10726,0.04678,0.01428,0.17685,0.12539,0.05673,0.01504,3.10663,3.86664,2.28549,1.27782,0.0017822,0.0017822,0.0017822
13,162.917,3.15426,4.15819,2.961,1.29367,0.19084,0.13144,0.05862,0.01773,0.19535,0.1367,0.07489,0.02031,3.04926,3.98214,2.27497,1.24321,0.0017624,0.0017624,0.0017624
14,172.094,3.14979,3.96472,2.73782,1.2943,0.14434,0.1062,0.04929,0.01671,0.13078,0.11672,0.05052,0.01472,2.98935,4.00256,2.39179,1.18954,0.0017426,0.0017426,0.0017426
15,181.19,3.11665,4.016,2.77439,1.25433,0.20492,0.07992,0.04511,0.01314,0.21869,0.08938,0.05437,0.01525,3.14499,3.92733,2.42981,1.27683,0.0017228,0.0017228,0.0017228
16,190.444,3.16922,4.04782,2.85864,1.30226,0.19885,0.13039,0.05587,0.01707,0.1767,0.13565,0.0631,0.01734,3.11884,3.94696,2.63163,1.26111,0.001703,0.001703,0.001703
17,199.688,3.08095,3.95392,2.88236,1.26177,0.19208,0.10305,0.05251,0.01416,0.17907,0.102,0.05827,0.0146,3.16425,4.07341,2.29233,1.28549,0.0016832,0.0016832,0.0016832
18,208.866,3.09236,4.12879,2.91276,1.27099,0.19878,0.12093,0.06401,0.01801,0.17741,0.12408,0.05759,0.01602,3.04491,4.08189,2.23202,1.20435,0.0016634,0.0016634,0.0016634
19,218.032,3.07375,4.09451,2.67502,1.2597,0.17796,0.12198,0.05819,0.01844,0.15979,0.12093,0.05501,0.01571,3.11189,4.0916,2.27415,1.17894,0.0016436,0.0016436,0.0016436
20,227.421,3.0889,4.06164,2.78634,1.2206,0.16725,0.13354,0.04965,0.01559,0.1484,0.13775,0.05255,0.01349,3.05374,3.96078,2.57033,1.17707,0.0016238,0.0016238,0.0016238
21,237.239,3.14705,3.85893,2.74097,1.26014,0.19101,0.11146,0.06427,0.02196,0.14986,0.10028,0.05326,0.01506,2.99697,3.88924,2.27387,1.17735,0.001604,0.001604,0.001604
22,246.992,3.00358,3.94031,2.68033,1.20113,0.16525,0.10305,0.05696,0.01986,0.14202,0.10305,0.05677,0.01594,3.20519,3.93692,2.32573,1.23031,0.0015842,0.0015842,0.0015842
23,256.528,3.09009,4.1449,2.7579,1.19739,0.193,0.12618,0.05971,0.01888,0.20292,0.14616,0.07842,0.02021,3.03926,4.00967,2.1808,1.16537,0.0015644,0.0015644,0.0015644
24,266.407,2.99605,4.04552,2.60234,1.181,0.22479,0.11987,0.07492,0.02412,0.20472,0.12723,0.07725,0.02178,3.03458,3.89184,2.20905,1.13812,0.0015446,0.0015446,0.0015446
25,276.023,3.14624,4.13765,2.79182,1.22562,0.2053,0.11251,0.05689,0.01851,0.19111,0.11777,0.06066,0.0166,3.0609,3.86853,2.25262,1.13049,0.0015248,0.0015248,0.0015248
26,285.728,2.99285,3.85866,2.56655,1.227,0.20886,0.14616,0.07282,0.02155,0.20319,0.16088,0.08372,0.0222,2.95305,3.99915,2.17792,1.16094,0.001505,0.001505,0.001505
27,295.603,3.09657,3.93445,2.63499,1.22092,0.20473,0.12723,0.07045,0.02397,0.17703,0.1346,0.07326,0.01779,2.94898,3.95655,2.14261,1.16313,0.0014852,0.0014852,0.0014852
28,304.956,3.08354,4.10702,2.60661,1.1832,0.21739,0.12618,0.07743,0.02591,0.18092,0.13144,0.07543,0.02124,2.96107,3.86144,2.13303,1.15448,0.0014654,0.0014654,0.0014654
29,314.304,2.90058,3.72863,2.40285,1.19753,0.23986,0.13073,0.08217,0.02865,0.2081,0.14406,0.07979,0.02446,2.94828,4.17447,2.09629,1.17595,0.0014456,0.0014456,0.0014456
30,323.96,3.04741,3.78956,2.41261,1.1957,0.21766,0.12303,0.06736,0.02181,0.16821,0.12198,0.06628,0.01815,2.93218,3.95018,2.18196,1.18994,0.0014258,0.0014258,0.0014258
31,333.572,3.05093,3.87969,2.5482,1.19339,0.2218,0.12829,0.08042,0.02891,0.20778,0.14616,0.09304,0.02742,2.89943,3.92914,2.07527,1.12321,0.001406,0.001406,0.001406
32,343.108,3.06549,4.00392,2.46115,1.18469,0.2283,0.14301,0.08026,0.02763,0.19104,0.15142,0.08499,0.02184,2.9152,3.93267,2.0666,1.15843,0.0013862,0.0013862,0.0013862
33,352.609,2.94816,3.83282,2.47996,1.22558,0.2056,0.13354,0.07607,0.02533,0.18287,0.14826,0.07582,0.02196,2.99444,3.84825,2.10189,1.16942,0.0013664,0.0013664,0.0013664
34,362.057,3.10673,3.89815,2.50284,1.21823,0.18612,0.12934,0.07024,0.02486,0.17842,0.13564,0.07148,0.01756,3.04339,3.92722,2.08019,1.16681,0.0013466,0.0013466,0.0013466
35,371.553,2.9567,3.71806,2.35343,1.19398,0.24477,0.1367,0.08538,0.02842,0.18939,0.15457,0.08297,0.02352,2.96125,3.89955,2.23275,1.16478,0.0013268,0.0013268,0.0013268
36,381.102,3.07512,3.98734,2.52022,1.23714,0.24939,0.12723,0.08071,0.0263,0.22569,0.15668,0.08493,0.0249,3.00719,3.8492,2.03091,1.17494,0.001307,0.001307,0.001307
37,390.494,2.98559,3.8665,2.39796,1.172,0.19299,0.14826,0.08325,0.02561,0.16944,0.15037,0.07422,0.02053,3.02571,3.87814,2.06375,1.14416,0.0012872,0.0012872,0.0012872
38,399.988,3.01384,3.86805,2.37754,1.20899,0.24467,0.1367,0.08501,0.02639,0.22855,0.15142,0.09452,0.0286,2.91375,3.7846,2.11641,1.14578,0.0012674,0.0012674,0.0012674
39,409.484,2.94093,3.81548,2.27928,1.21994,0.26636,0.14301,0.08485,0.03068,0.17605,0.14196,0.07832,0.02411,2.86544,3.84162,2.03022,1.13884,0.0012476,0.0012476,0.0012476
40,419.288,2.99868,3.77444,2.48019,1.19783,0.23922,0.14616,0.08671,0.02846,0.16423,0.15142,0.07659,0.02172,2.90203,3.81545,1.93693,1.13689,0.0012278,0.0012278,0.0012278
41,428.809,2.91108,3.87534,2.34067,1.20861,0.24254,0.1388,0.08959,0.0304,0.18719,0.16614,0.09429,0.02635,2.92334,3.81318,1.93419,1.15269,0.001208,0.001208,0.001208
42,438.432,2.96191,3.79144,2.47323,1.16219,0.22245,0.1367,0.08789,0.02945,0.17736,0.15247,0.08346,0.02421,2.88107,3.96181,1.96573,1.11591,0.0011882,0.0011882,0.0011882
43,448.269,2.93019,3.83301,2.38561,1.17489,0.21227,0.12829,0.07853,0.02955,0.18071,0.15142,0.08105,0.0237,2.87043,3.86816,2.00648,1.12597,0.0011684,0.0011684,0.0011684
44,457.869,2.81759,3.81201,2.30464,1.16105,0.26528,0.1388,0.09257,0.03161,0.21184,0.17035,0.09938,0.03179,2.82256,3.95509,1.94106,1.1091,0.0011486,0.0011486,0.0011486
45,467.439,2.86597,3.75195,2.22233,1.17749,0.21927,0.15037,0.0878,0.02802,0.20348,0.17455,0.08431,0.02423,2.81851,3.89372,1.97438,1.13343,0.0011288,0.0011288,0.0011288
46,477.823,2.91431,3.89397,2.32179,1.17987,0.22215,0.1388,0.07802,0.0259,0.19276,0.15457,0.08487,0.02311,2.94195,3.87549,2.12709,1.18721,0.001109,0.001109,0.001109
47,487.922,2.79118,3.77263,2.31142,1.22499,0.23554,0.13354,0.08471,0.02756,0.17794,0.15563,0.08651,0.02548,2.98079,3.92688,1.98755,1.18002,0.0010892,0.0010892,0.0010892
48,499.388,2.85075,3.74066,2.28376,1.17457,0.23775,0.14511,0.08466,0.02665,0.20242,0.15563,0.08766,0.02332,2.93178,3.91112,2.13195,1.18277,0.0010694,0.0010694,0.0010694
49,509.212,2.88344,3.75883,2.26928,1.1324,0.23514,0.15037,0.09314,0.0329,0.21398,0.15773,0.10096,0.02826,2.8294,3.84677,1.89948,1.13849,0.0010496,0.0010496,0.0010496
50,521.06,2.78844,3.75707,2.13565,1.13181,0.23234,0.14616,0.09608,0.03237,0.20699,0.15983,0.09862,0.02826,2.84387,3.89016,1.89107,1.14233,0.0010298,0.0010298,0.0010298
51,533.006,2.7967,3.88829,2.22253,1.17608,0.23754,0.1346,0.08973,0.03172,0.20691,0.1367,0.09183,0.02726,2.8332,3.8101,1.87693,1.16163,0.00101,0.00101,0.00101
52,543.908,2.7468,3.55419,2.17306,1.13239,0.24997,0.14511,0.10207,0.03285,0.19679,0.15142,0.09842,0.02652,2.84347,3.95368,1.91299,1.14814,0.0009902,0.0009902,0.0009902
53,554.065,2.81033,3.63885,2.25354,1.17028,0.25328,0.14406,0.09392,0.03145,0.20438,0.14721,0.09106,0.02327,2.85978,3.81714,2.07079,1.17703,0.0009704,0.0009704,0.0009704
54,564.566,2.84837,3.74765,2.26862,1.13944,0.24952,0.14511,0.09812,0.0341,0.24045,0.17455,0.10463,0.02753,2.82271,3.79794,1.84743,1.13258,0.0009506,0.0009506,0.0009506
