epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.7243,3.25874,4.95685,14.3782,1.43886,0.00043,0.01893,0.00022,7e-05,0.00078,0.0347,0.00041,0.00011,3.45723,5.30086,8.77666,1.44387,0.000655914,0.000655914,0.000655914
2,49.0362,3.37621,4.56088,6.87044,1.43952,0.00203,0.09043,0.00151,0.00046,0.0021,0.09359,0.00152,0.00045,3.43043,4.82987,6.9247,1.43944,0.00130949,0.00130949,0.00130949
3,61.1841,3.33781,4.4399,6.80381,1.31491,0.00403,0.00736,0.00055,0.00023,0.04893,0.0021,0.00285,0.00261,4.74789,692.06,6.40699,7.83245,0.00194986,0.00194986,0.00194986
4,73.382,3.47489,4.4887,6.32755,1.39758,0.12886,0.05363,0.02161,0.00568,0.10645,0.05994,0.01634,0.00412,3.83978,6.05514,5.35399,1.69622,0.0019406,0.0019406,0.0019406
5,84.9373,3.40526,4.46599,5.32721,1.37816,0.12311,0.06519,0.02346,0.00618,0.15805,0.0715,0.03143,0.00761,3.62154,20.4139,5.72965,2.70702,0.0019208,0.0019208,0.0019208
6,95.9967,3.282,4.23428,3.96193,1.36852,0.15537,0.09359,0.03868,0.01055,0.14279,0.10726,0.04155,0.00878,3.29292,4.47631,3.51315,1.32944,0.001901,0.001901,0.001901
7,107.639,3.23908,4.41462,4.10595,1.33311,0.18608,0.0694,0.03314,0.009,0.15901,0.06099,0.0273,0.00658,3.2163,4.34454,2.63869,1.27316,0.0018812,0.0018812,0.0018812
8,117.283,3.20715,4.23663,3.87728,1.31817,0.17306,0.09043,0.04515,0.01384,0.15898,0.08307,0.04777,0.01186,3.18781,4.11497,2.70967,1.28246,0.0018614,0.0018614,0.0018614
9,126.444,3.2834,4.21309,3.32146,1.34239,0.13106,0.09464,0.04112,0.01311,0.15391,0.11251,0.0502,0.01382,3.14639,4.21028,2.81689,1.2944,0.0018416,0.0018416,0.0018416
10,135.508,3.25026,4.04612,3.47457,1.31398,0.13815,0.09253,0.0372,0.01139,0.11812,0.1093,0.03969,0.0103,3.20428,4.23583,2.48542,1.24119,0.0018218,0.0018218,0.0018218
11,144.628,3.29178,4.11131,3.03502,1.27679,0.19092,0.09148,0.04727,0.01468,0.16318,0.08517,0.04259,0.01114,3.18437,4.27443,2.4211,1.23203,0.001802,0.001802,0.001802
