epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0813,3.10446,4.73555,11.5458,1.34765,0.00102,0.04522,0.00055,0.00019,0.00168,0.07466,0.00096,0.00031,3.05374,4.35905,7.75347,1.23799,0.000655914,0.000655914,0.000655914
2,33.3673,3.12052,4.14747,6.06856,1.32227,0.02013,0.15352,0.02657,0.00745,0.00645,0.25657,0.02419,0.0058,3.02015,6.21007,3.45882,1.28087,0.00130949,0.00130949,0.00130949
3,42.5921,3.19188,4.15996,6.20224,1.27834,0.15815,0.0326,0.02204,0.00727,0.19897,0.04101,0.03145,0.00991,3.20243,5.50048,3.35527,1.34116,0.00194986,0.00194986,0.00194986
4,51.8465,3.24773,4.48871,5.67818,1.35321,0.16023,0.05258,0.02963,0.00816,0.19002,0.06118,0.04195,0.01369,3.27711,5.68187,2.94075,1.34166,0.0019406,0.0019406,0.0019406
5,61.1483,3.15768,4.09634,4.21364,1.28871,0.15924,0.1185,0.0524,0.01563,0.16392,0.14826,0.06909,0.0195,3.23051,4.2453,2.9674,1.32792,0.0019208,0.0019208,0.0019208
6,70.6184,3.0786,3.85903,3.3009,1.30018,0.17223,0.12198,0.0569,0.01639,0.16793,0.12934,0.06998,0.01582,3.05622,4.01461,3.98976,1.23081,0.001901,0.001901,0.001901
7,79.9224,3.01443,3.77136,3.53232,1.25877,0.12825,0.07886,0.03382,0.00982,0.16315,0.14301,0.05957,0.01547,3.26492,4.00955,3.37787,1.3599,0.0018812,0.0018812,0.0018812
8,89.2145,3.04272,3.92963,3.35261,1.28146,0.17646,0.12408,0.05063,0.01467,0.22989,0.17876,0.09698,0.02357,3.10717,3.90706,2.48677,1.28058,0.0018614,0.0018614,0.0018614
9,98.6,3.06918,3.98321,2.72843,1.27045,0.19238,0.1346,0.06623,0.01897,0.18446,0.14721,0.07168,0.01702,3.00757,3.80742,2.03548,1.20554,0.0018416,0.0018416,0.0018416
10,108.647,3.0389,3.81305,2.74407,1.27649,0.17494,0.12303,0.06669,0.02018,0.17617,0.13514,0.07149,0.01626,3.15534,3.98043,2.18771,1.25598,0.0018218,0.0018218,0.0018218
11,118.808,3.06586,3.85594,2.58756,1.22579,0.22374,0.11882,0.0803,0.02408,0.23556,0.13249,0.10123,0.02977,3.03505,3.94688,2.0558,1.20481,0.001802,0.001802,0.001802
12,129.034,3.00379,3.76089,2.41061,1.26886,0.20656,0.13249,0.06854,0.02324,0.16052,0.1367,0.06748,0.01843,2.95219,3.7196,2.02534,1.18201,0.0017822,0.0017822,0.0017822
13,140.575,2.91445,3.82206,2.26974,1.24051,0.20363,0.16299,0.09228,0.02976,0.1754,0.19348,0.10383,0.03,2.85481,3.66364,1.97388,1.18468,0.0017624,0.0017624,0.0017624
14,151.005,2.87863,3.69426,2.16736,1.22005,0.18852,0.1409,0.08986,0.03137,0.19061,0.15773,0.09761,0.02923,2.89511,3.8991,1.92978,1.16791,0.0017426,0.0017426,0.0017426
15,161.112,2.91563,3.75963,2.21394,1.19187,0.20455,0.14616,0.09177,0.0312,0.19362,0.16824,0.09517,0.02987,2.82207,3.74048,1.82528,1.19228,0.0017228,0.0017228,0.0017228
16,170.541,2.92948,3.61092,2.14819,1.25664,0.1903,0.14408,0.07475,0.02503,0.1779,0.17455,0.0859,0.02382,2.83178,3.80338,1.86293,1.17844,0.001703,0.001703,0.001703
17,179.93,2.83806,3.64445,2.26149,1.22104,0.19958,0.13565,0.08225,0.0279,0.17227,0.16719,0.08185,0.02454,2.93612,3.78606,1.87145,1.2412,0.0016832,0.0016832,0.0016832
18,189.313,2.88438,3.76213,2.33751,1.25077,0.2064,0.14932,0.08877,0.02829,0.21481,0.18191,0.10001,0.02873,2.88219,3.82241,1.82477,1.2209,0.0016634,0.0016634,0.0016634
19,198.595,2.7947,3.71834,2.0208,1.2232,0.23072,0.15037,0.09991,0.03439,0.19864,0.16088,0.09574,0.02829,2.81894,3.80852,1.8341,1.18601,0.0016436,0.0016436,0.0016436
20,208.093,2.89816,3.63662,2.20855,1.19782,0.21173,0.14826,0.10136,0.0307,0.19911,0.19138,0.11201,0.033,2.92261,3.65592,1.84781,1.19316,0.0016238,0.0016238,0.0016238
21,217.385,2.87384,3.63685,2.15159,1.24243,0.22683,0.13249,0.09861,0.03188,0.20044,0.14656,0.09628,0.02688,2.88594,3.69549,1.86102,1.16724,0.001604,0.001604,0.001604
22,226.826,2.85255,3.74878,2.13817,1.1807,0.20285,0.1346,0.09456,0.03156,0.18561,0.15563,0.08983,0.02731,2.9019,3.67188,1.86177,1.18322,0.0015842,0.0015842,0.0015842
23,236.306,2.85456,3.9121,2.19443,1.18534,0.21562,0.1558,0.09994,0.0325,0.2017,0.17035,0.10959,0.03455,2.83824,3.6434,1.83913,1.17562,0.0015644,0.0015644,0.0015644
24,245.691,2.80558,3.66032,2.04787,1.17257,0.27459,0.14721,0.1057,0.0321,0.22653,0.19138,0.12973,0.04293,2.91002,3.63849,1.80752,1.17345,0.0015446,0.0015446,0.0015446
25,255.059,2.88363,3.81881,2.11327,1.22512,0.216,0.13985,0.0899,0.02975,0.15657,0.14679,0.0839,0.02345,2.93317,3.80999,1.81006,1.16583,0.0015248,0.0015248,0.0015248
26,264.451,2.81525,3.60168,2.01645,1.21481,0.21912,0.13985,0.1035,0.03505,0.16902,0.15983,0.10013,0.03067,2.76456,3.70119,1.80829,1.16753,0.001505,0.001505,0.001505
27,274.08,3.01295,3.72277,2.12958,1.23563,0.19847,0.15935,0.0891,0.03144,0.20159,0.17815,0.09698,0.02937,2.87667,3.76306,1.80226,1.16551,0.0014852,0.0014852,0.0014852
28,283.561,2.96267,3.81675,2.11592,1.1746,0.2574,0.14826,0.09799,0.03161,0.1667,0.19664,0.09949,0.02823,2.91761,3.60836,1.85664,1.16327,0.0014654,0.0014654,0.0014654
29,292.897,2.77409,3.49478,1.96909,1.19211,0.23004,0.14196,0.10809,0.03714,0.20195,0.15773,0.10484,0.03167,2.77659,3.71182,1.84045,1.15845,0.0014456,0.0014456,0.0014456
30,302.39,2.81183,3.76571,1.98995,1.16676,0.23333,0.14196,0.09354,0.03277,0.17749,0.17771,0.10072,0.03261,2.88535,3.60319,1.85294,1.18621,0.0014258,0.0014258,0.0014258
31,311.887,2.85933,3.61586,1.92851,1.17061,0.23362,0.15835,0.10228,0.03301,0.22345,0.20189,0.11371,0.02955,2.89018,3.74603,2.00268,1.16238,0.001406,0.001406,0.001406
32,321.467,2.86759,3.67327,2.02399,1.16108,0.24753,0.15247,0.09828,0.03541,0.2222,0.20715,0.11309,0.03158,2.79571,3.62353,1.81456,1.15392,0.0013862,0.0013862,0.0013862
