epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6977,3.65732,13.2572,1.38658,0.0002,0.01099,0.0001,1e-05,3.59403,6.65017,1.49671,0.00044,0.00044,0.00044
2,21.5376,3.52394,9.21241,1.30027,0.0001,0.00549,5e-05,2e-05,3.56556,6.31445,1.64781,0.0008703,0.0008703,0.0008703
3,24.3394,3.51867,8.43852,1.42604,0.0001,0.00549,5e-05,1e-05,3.53266,6.36065,1.37562,0.00127024,0.00127024,0.00127024
4,27.0961,3.51391,7.99355,1.32557,0.00176,0.0989,0.00134,0.00044,3.80212,6.49179,2.13824,0.00163982,0.00163982,0.00163982
5,29.9633,3.56613,7.23515,1.28848,0.35327,0.01648,0.03497,0.007,3.82323,4.58596,1.73138,0.001736,0.001736,0.001736
6,32.8623,3.58178,6.05403,1.33441,0.37329,0.03846,0.0364,0.01012,3.87277,4.30452,1.69415,0.00167,0.00167,0.00167
7,35.8683,3.56079,7.19506,1.32695,0.42115,0.07143,0.07036,0.0171,3.58722,3.82432,1.48161,0.001604,0.001604,0.001604
8,38.9118,3.6324,6.32188,1.34029,0.50111,0.07728,0.08335,0.02381,3.79854,3.67115,1.42679,0.001538,0.001538,0.001538
9,41.9399,3.42593,5.10828,1.24764,0.36729,0.1044,0.09079,0.02468,3.77793,3.35274,1.30204,0.001472,0.001472,0.001472
10,44.9496,3.52411,4.96248,1.21442,0.22726,0.11959,0.07157,0.02113,3.73724,3.27813,1.29485,0.001406,0.001406,0.001406
11,47.9503,3.46396,5.11025,1.20466,0.30761,0.13187,0.07603,0.02197,3.64229,3.13579,1.30856,0.00134,0.00134,0.00134
12,50.9386,3.68151,5.87472,1.27248,0.08221,0.12088,0.01742,0.00469,3.57981,3.80691,1.34006,0.001274,0.001274,0.001274
13,53.9075,3.55155,4.7354,1.30438,0.27995,0.12088,0.08293,0.02224,3.58208,3.10092,1.33581,0.001208,0.001208,0.001208
14,56.7566,3.32382,4.55141,1.21558,0.3502,0.12637,0.08524,0.02152,3.60639,3.34247,1.33831,0.001142,0.001142,0.001142
15,59.6838,3.38275,4.48694,1.18661,0.32353,0.15385,0.11026,0.02938,3.56157,3.05789,1.32898,0.001076,0.001076,0.001076
16,62.524,3.34838,4.28142,1.25365,0.3699,0.14835,0.10992,0.03342,3.6623,2.92645,1.48223,0.00101,0.00101,0.00101
17,65.3531,3.14969,4.03983,1.18096,0.45871,0.14286,0.12025,0.03482,3.52782,3.04441,1.41512,0.000944,0.000944,0.000944
18,68.2014,3.07586,3.64774,1.16324,0.51208,0.14286,0.12383,0.03547,3.542,3.11058,1.40941,0.000878,0.000878,0.000878
19,71.0653,3.42554,4.21234,1.19507,0.44011,0.12637,0.10725,0.03064,3.63962,3.22996,1.38882,0.000812,0.000812,0.000812
20,73.9083,3.3719,3.74831,1.16585,0.39377,0.14635,0.10592,0.03302,3.72439,3.22155,1.36073,0.000746,0.000746,0.000746
21,77.5561,3.25983,4.08946,1.19863,0.33816,0.14835,0.11435,0.03234,3.57089,2.96026,1.27396,0.00068,0.00068,0.00068
22,80.3724,3.17914,3.84726,1.22211,0.32311,0.13736,0.0962,0.03057,3.55729,2.92722,1.30511,0.000614,0.000614,0.000614
23,83.344,3.17215,4.13754,1.21354,0.34214,0.15934,0.11574,0.03642,3.4927,2.87168,1.34025,0.000548,0.000548,0.000548
24,86.2064,3.33263,3.93748,1.23785,0.31966,0.13187,0.10152,0.03443,3.52611,2.95691,1.32169,0.000482,0.000482,0.000482
25,89.0175,3.09283,3.62226,1.17393,0.35213,0.15385,0.11402,0.04102,3.47773,2.93023,1.3196,0.000416,0.000416,0.000416
26,91.8496,3.26648,3.85562,1.21639,0.37223,0.16484,0.12168,0.04008,3.51253,2.90003,1.32458,0.00035,0.00035,0.00035
27,94.6803,3.32013,3.86473,1.22844,0.41737,0.15385,0.12811,0.04226,3.56767,2.86449,1.37343,0.000284,0.000284,0.000284
28,97.52,3.1504,3.58416,1.16865,0.41397,0.15385,0.12707,0.03733,3.45956,2.82824,1.30417,0.000218,0.000218,0.000218
29,100.384,3.16656,3.71454,1.15414,0.38592,0.14835,0.12981,0.03813,3.5015,2.84159,1.32098,0.000152,0.000152,0.000152
30,103.32,3.15617,3.47061,1.16614,0.40115,0.16196,0.13261,0.0387,3.4883,2.84894,1.31962,8.6e-05,8.6e-05,8.6e-05
