epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.5163,3.07254,4.55384,11.521,1.3372,0.00085,0.04167,0.00048,0.00015,0.00206,0.10069,0.00135,0.00034,3.02876,4.31659,8.05977,1.20991,0.000655914,0.000655914,0.000655914
2,39.8183,3.17963,4.18702,6.24045,1.3031,0.00343,0.16782,0.02887,0.00738,0.00426,0.20833,0.0242,0.00566,2.95515,4.29862,4.89298,1.33593,0.00130949,0.00130949,0.00130949
3,47.9393,3.13359,4.07806,5.13925,1.2751,0.16059,0.10069,0.03615,0.01008,0.13584,0.125,0.04404,0.01006,3.12955,3.91055,3.86882,1.44871,0.00194986,0.00194986,0.00194986
4,56.7693,3.11819,3.92549,4.13744,1.33581,0.15762,0.12616,0.04327,0.01324,0.12904,0.16377,0.04608,0.01181,2.93199,4.56037,2.80868,1.31043,0.0019406,0.0019406,0.0019406
5,64.4876,3.15749,4.00591,4.32184,1.30961,0.15983,0.13079,0.04693,0.01284,0.11668,0.13426,0.04239,0.00991,2.98201,4.18057,2.98488,1.32925,0.0019208,0.0019208,0.0019208
6,71.0765,3.2915,4.25734,3.72634,1.37759,0.17136,0.12963,0.05653,0.01389,0.13746,0.13773,0.05414,0.01221,3.00417,4.61651,3.19323,1.32062,0.001901,0.001901,0.001901
7,77.7332,3.18498,3.89552,3.05925,1.32043,0.16831,0.1331,0.05178,0.01312,0.11413,0.1412,0.0492,0.01087,3.15441,3.84038,2.47716,1.28317,0.0018812,0.0018812,0.0018812
8,84.2643,3.13132,3.90116,3.00836,1.29404,0.18236,0.14583,0.05964,0.01739,0.16848,0.17593,0.06935,0.01685,2.89417,3.60887,2.42307,1.2483,0.0018614,0.0018614,0.0018614
9,90.6271,3.08814,3.80289,2.61303,1.30109,0.16307,0.16088,0.06175,0.01708,0.1756,0.21759,0.08474,0.02036,2.9666,3.7126,2.70292,1.25713,0.0018416,0.0018416,0.0018416
10,98.2317,3.03524,3.93426,2.44163,1.28395,0.16357,0.15972,0.06762,0.02024,0.13922,0.18981,0.07538,0.02134,2.93226,3.67031,2.27446,1.23554,0.0018218,0.0018218,0.0018218
11,105.902,2.90653,3.77254,2.31012,1.25589,0.18705,0.15162,0.08133,0.02663,0.17119,0.18287,0.08942,0.02562,2.90518,3.50977,2.02849,1.23527,0.001802,0.001802,0.001802
12,113.305,2.93668,3.84063,2.33903,1.2589,0.18735,0.15046,0.06975,0.02284,0.1509,0.16722,0.0736,0.01892,2.91744,3.80954,2.13729,1.22807,0.0017822,0.0017822,0.0017822
13,121.184,2.94314,3.65721,2.23357,1.25391,0.1972,0.14005,0.0706,0.01963,0.16528,0.14699,0.07055,0.0178,2.81678,3.64678,2.71671,1.22144,0.0017624,0.0017624,0.0017624
14,129.085,3.05195,3.88677,2.23581,1.24036,0.22267,0.12963,0.07276,0.02133,0.15061,0.19784,0.07237,0.01874,2.90957,3.98892,2.39437,1.24807,0.0017426,0.0017426,0.0017426
15,137.447,2.98936,3.66679,2.07929,1.25069,0.2193,0.15162,0.08008,0.02315,0.17663,0.18171,0.08563,0.0242,2.82385,3.54118,2.14271,1.20138,0.0017228,0.0017228,0.0017228
16,145.154,2.9747,3.77454,2.21202,1.23712,0.19564,0.16204,0.08299,0.02644,0.15951,0.20949,0.10105,0.0282,2.77574,3.51515,2.123,1.20086,0.001703,0.001703,0.001703
17,152.823,2.99238,3.76741,2.16325,1.23687,0.24068,0.16088,0.08914,0.02846,0.19719,0.17342,0.10721,0.02874,2.79735,4.28749,1.93288,1.21712,0.0016832,0.0016832,0.0016832
18,160.482,2.83522,3.72727,2.11536,1.2522,0.21816,0.13889,0.07975,0.02403,0.15308,0.16782,0.08089,0.0233,2.87337,3.80242,1.87382,1.2398,0.0016634,0.0016634,0.0016634
19,167.779,2.86914,3.66328,2.09007,1.23313,0.25767,0.1611,0.09657,0.02988,0.20892,0.19792,0.10609,0.02925,2.84818,3.5356,1.89828,1.22218,0.0016436,0.0016436,0.0016436
20,175.262,2.83357,3.9196,2.04637,1.16381,0.22258,0.14583,0.08718,0.02765,0.1963,0.20139,0.10719,0.03203,2.82268,3.5932,1.98748,1.22832,0.0016238,0.0016238,0.0016238
21,183.083,2.96527,3.84511,2.11883,1.19803,0.19689,0.16204,0.08777,0.0285,0.15295,0.16823,0.08432,0.02209,2.78165,3.73881,2.01663,1.19204,0.001604,0.001604,0.001604
22,190.859,2.89037,3.64115,1.96419,1.1977,0.23625,0.16088,0.10249,0.03399,0.20722,0.17245,0.10156,0.02997,2.74436,3.50133,1.81981,1.19011,0.0015842,0.0015842,0.0015842
23,198.055,2.81998,3.6382,1.97423,1.19947,0.22941,0.16401,0.09101,0.03065,0.16576,0.19097,0.09838,0.02973,2.72954,3.59893,1.91285,1.1665,0.0015644,0.0015644,0.0015644
24,205.46,2.85923,3.69041,1.87194,1.20203,0.24143,0.14699,0.09055,0.02947,0.18233,0.18171,0.10028,0.02942,2.69835,3.6946,1.98301,1.18636,0.0015446,0.0015446,0.0015446
25,212.864,2.88172,3.70602,2.04506,1.2451,0.20227,0.17361,0.10226,0.03263,0.168,0.17361,0.0957,0.03023,2.81635,3.62136,1.8405,1.2043,0.0015248,0.0015248,0.0015248
26,220.043,2.85884,3.65984,2.06697,1.27617,0.24727,0.17824,0.10623,0.03428,0.21298,0.20718,0.11809,0.03431,2.65812,3.43589,1.76629,1.18036,0.001505,0.001505,0.001505
27,227.485,2.86012,3.67958,1.94221,1.23292,0.24427,0.1713,0.10074,0.0343,0.19799,0.1863,0.10424,0.02949,2.83235,3.7587,1.78598,1.2103,0.0014852,0.0014852,0.0014852
28,234.783,2.86251,3.78115,1.8871,1.21131,0.218,0.1713,0.09479,0.02796,0.1846,0.19417,0.10346,0.03015,2.93301,3.53279,2.00115,1.20589,0.0014654,0.0014654,0.0014654
29,242.2,2.79264,3.65249,1.85477,1.21638,0.2725,0.17514,0.11996,0.03736,0.24617,0.19213,0.13268,0.03639,2.78725,3.48206,1.73991,1.21612,0.0014456,0.0014456,0.0014456
30,249.573,2.84048,3.57433,1.86372,1.18082,0.27755,0.15278,0.10315,0.03036,0.23306,0.22569,0.12994,0.03876,2.81771,3.39857,1.8808,1.23049,0.0014258,0.0014258,0.0014258
31,257.193,2.72237,3.55012,1.74461,1.22925,0.25261,0.16551,0.11146,0.03629,0.23015,0.24769,0.14126,0.04484,2.75166,3.41114,1.73618,1.2024,0.001406,0.001406,0.001406
