epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9687,3.05755,4.8798,11.8754,1.36622,0.00128,0.05678,0.00069,0.00022,0.00199,0.08833,0.00111,0.00031,2.98193,4.47269,7.32976,1.19115,0.000652482,0.000652482,0.000652482
2,21.6035,3.16777,4.45,8.26305,1.31131,0.00085,0.03785,0.00046,0.00016,0.00227,0.10095,0.00301,0.0006,3.09076,5.6208,6.96677,1.37251,0.00130609,0.00130609,0.00130609
3,27.1041,3.25177,4.17122,6.63808,1.38954,0.03736,0.00526,0.00214,0.00067,0.02242,0.00315,0.00195,0.00061,3.56682,16.3941,7.6476,2.98805,0.0019465,0.0019465,0.0019465
4,34.5638,3.12695,4.45868,7.0877,1.32637,0.11841,0.03155,0.01266,0.0037,0.13563,0.03614,0.01583,0.00398,3.21781,64.811,4.13577,1.58284,0.0019406,0.0019406,0.0019406
5,40.2303,3.37626,4.33512,5.62228,1.37662,0.23933,0.03365,0.02801,0.00668,0.24681,0.0347,0.03807,0.00913,3.25694,8.05984,3.01268,1.32466,0.0019208,0.0019208,0.0019208
6,45.7803,3.29287,4.30599,4.69271,1.42264,0.14807,0.11146,0.03917,0.01204,0.14384,0.11356,0.04314,0.00993,3.26189,4.63922,3.07415,1.3394,0.001901,0.001901,0.001901
7,51.4237,3.18016,4.1674,4.74484,1.29952,0.16234,0.09989,0.03748,0.00981,0.12757,0.08938,0.03551,0.00955,3.26107,7.17626,4.59622,1.36339,0.0018812,0.0018812,0.0018812
8,57.0351,3.24633,4.23887,4.08227,1.32614,0.15707,0.10936,0.04991,0.01362,0.13935,0.1219,0.05914,0.01576,3.18753,3.89865,2.56404,1.26331,0.0018614,0.0018614,0.0018614
9,62.8049,3.20297,4.09123,3.53396,1.31439,0.14432,0.11462,0.04414,0.01374,0.1268,0.14826,0.05621,0.01538,3.20927,4.03152,2.43408,1.27216,0.0018416,0.0018416,0.0018416
10,68.5902,3.18535,4.03158,3.37261,1.32276,0.16863,0.11987,0.04866,0.01505,0.16773,0.1346,0.06074,0.0147,3.08942,4.00327,2.07813,1.25268,0.0018218,0.0018218,0.0018218
11,74.2178,3.04288,3.74629,2.67887,1.34354,0.18685,0.13144,0.05465,0.01709,0.17187,0.13985,0.06212,0.01343,3.10238,3.92901,1.97023,1.27032,0.001802,0.001802,0.001802
12,79.7058,3.03049,3.83522,2.70793,1.29239,0.19239,0.13039,0.05981,0.01724,0.19203,0.16509,0.076,0.01946,3.08202,4.14772,2.06569,1.22843,0.0017822,0.0017822,0.0017822
13,85.0955,3.05052,3.9316,2.70157,1.29167,0.17663,0.11041,0.05787,0.01835,0.14007,0.13354,0.06043,0.0188,3.104,4.02801,2.12175,1.25135,0.0017624,0.0017624,0.0017624
14,90.4887,3.11112,3.92232,2.66459,1.3253,0.17261,0.13249,0.06811,0.02127,0.15566,0.15037,0.07319,0.02155,3.07316,3.91471,1.97156,1.19129,0.0017426,0.0017426,0.0017426
15,95.8189,3.08655,3.89271,2.44115,1.28057,0.16349,0.14511,0.0659,0.01946,0.14659,0.1735,0.07065,0.02176,2.96874,3.85245,1.98456,1.20902,0.0017228,0.0017228,0.0017228
16,101.247,3.1042,3.93644,2.59522,1.25487,0.17181,0.1346,0.05161,0.01445,0.19661,0.1714,0.07535,0.01958,3.18769,4.04,2.04812,1.29244,0.001703,0.001703,0.001703
17,106.633,3.09904,4.01937,2.4668,1.33937,0.15445,0.14156,0.05616,0.01677,0.14529,0.16404,0.06306,0.0161,2.9835,4.01406,2.12885,1.19473,0.0016832,0.0016832,0.0016832
18,112.176,3.07381,3.89632,2.44957,1.29274,0.23351,0.12303,0.0823,0.02408,0.20517,0.14301,0.0875,0.02446,3.06015,3.97633,1.985,1.18814,0.0016634,0.0016634,0.0016634
19,118.035,3.0522,3.81469,2.2885,1.28885,0.23874,0.1388,0.08103,0.02696,0.19329,0.19874,0.10765,0.03043,2.9386,3.6342,2.31435,1.20308,0.0016436,0.0016436,0.0016436
20,123.804,2.87138,3.8363,2.27899,1.32215,0.18919,0.14406,0.06804,0.02078,0.1851,0.20159,0.09151,0.02557,2.97682,3.8016,1.92573,1.24549,0.0016238,0.0016238,0.0016238
21,129.255,2.95784,3.89515,2.39287,1.26087,0.17318,0.15668,0.06463,0.01948,0.17076,0.19874,0.08541,0.02137,2.95291,3.78113,1.95285,1.22309,0.001604,0.001604,0.001604
22,134.886,3.02135,3.87591,2.21596,1.30288,0.21745,0.14196,0.07769,0.02084,0.18682,0.16193,0.0777,0.01554,2.9683,3.89863,2.05946,1.22258,0.0015842,0.0015842,0.0015842
23,140.399,2.92466,3.73557,2.14373,1.33725,0.17003,0.15668,0.07513,0.02386,0.13604,0.1735,0.07996,0.02374,2.951,3.68902,1.89592,1.19536,0.0015644,0.0015644,0.0015644
24,146.05,2.90923,3.52266,2.1145,1.26367,0.20245,0.1388,0.08304,0.02626,0.18065,0.19242,0.09837,0.02708,2.91398,3.7163,1.80464,1.18603,0.0015446,0.0015446,0.0015446
